id,model_code,محدوده گنجایش کل به لیتر,شناسه کالا,گنجایش کل به فوت,تعداد کشو,گنجایش کل به لیتر,تعداد کشوی فریزر,وزن,نوع مقاومت در برابر برفک,گنجایش یخچال,تعداد طبقات یخچال,تعداد طبقات فریزر,تعداد طبقات درب فریزر,گنجایش فریزر,نمودار مصرف انرژی,تعداد طبقات درب یخچال
22,GPLUS-SBS-GSS-M7525BS,۴۹۱ تا ۵۵۰,۲۹۰۲۰۹۶۶۰۱۷۱۱,۲۸,۲ عدد,۵۰۷,۲,۸۰ کیلوگرم,نوفراست,- لیتر,۴,۴,۴,- لیتر,A++,۴
23,GPLUS-SBS-GSS-M7525W,۴۹۱ تا ۵۵۰,۲۹۰۲۰۹۶۶۰۱۶۹۸,۲۸,۴ عدد,۵۰۷ لیتر,۲ عدد,,نوفراست,۳۳۲ لیتر لیتر,۴ طبقه,۴ طبقه,۴ طبقه,۱۷۵ لیتر لیتر,A++,۴ طبقه
24,GPLUS-SBS-GSS-P7920W,بیش از ۷۰۰ لیتر,۲۹۰۲۰۹۶۶۰۳۴۷۰,۳۲,۲ عدد,۷۶۰,۲,۱۰۰ کیلوگرم,نوفراست,۴۶۰ لیتر,۴,۴,۱,۲۳۲ لیتر,A+,۴
25,GPLUS-SBS-GSS-P7435BG,۴۹۱ تا ۵۵۰,۲۹۰۲۰۹۶۶۰۳۰۵۰,۲۸,۲ عدد,۵۱۰,۲,۱۶۸ کیلوگرم,نوفراست,۳۳۲ لیتر,۴,۴,۴,۱۴۰ لیتر,A++,۴
26,GPLUS-SBS-GSS-M7423BG,۴۹۱ تا ۵۵۰,۲۹۰۲۰۹۶۶۰۱۶۸۱,۲۸,۲ عدد,۵۱۰,۲,۱۱۰ کیلوگرم,نوفراست,۳۳۵ لیتر,۴,۴,۴,۱۷۵ لیتر,A++,۴
27,GPLUS-SBS-GSS-P7920S,بیش از ۷۰۰ لیتر,۲۹۰۲۰۹۶۶۰۳۴۸۷,۳۲,۲ عدد,۷۶۰,۲,۱۰۰ کیلوگرم,نوفراست,۴۶۰ لیتر,۴,۴,۱,۲۳۲ لیتر,A+,۴
28,GPLUS-SBS-GSS-M7625W,۳۵۱ تا ۴۹۰,۲۹۰۲۰۹۶۶۰۱۵۷۵-۲۹۰۲۰۹۶۶۰۱۵۶۸,۲۸,۲ عدد عدد,۴۷۲,۲ عدد,۱۳۰ کیلوگرم,نوفراست,۳۳۲ لیتر,۴ عدد,۴ عدد,۱ عدد,۱۴۰ لیتر,A+,۴ عدد
29,GPLUS-SBS-GSS-M7625BS,۳۵۱ تا ۴۹۰,۲۹۰۲۰۹۶۶۰۱۵۷۵-۲۹۰۲۰۹۶۶۰۱۵۶۸,۲۸,۲ عدد عدد,۴۷۲,۲ عدد,۱۳۰ کیلوگرم,نوفراست,۳۳۲ لیتر,۴ عدد,۴ عدد,۱ عدد,۱۴۰ لیتر,A+,۴ عدد
30,PAKSHOMA-SBS-RSP-800iS(E1),بیش از ۷۰۰ لیتر,۲۹۰۰۹۴۹۰۲۲۲۵۶,۳۲,۲ عدد,۸۰۰,۲,۱۱۶ کیلوگرم,,۴۸۷ لیتر,۴,۳,۴,۱۷۰ لیتر,A,۵
31,PAKSHOMA-SBS-RSP-800W,بیش از ۷۰۰ لیتر,۲۹۰۰۹۴۹۰۲۲۲۹۴,۳۲,۲ عدد,۸۰۰,۲,۱۱۶ کیلوگرم,,۴۸۷ لیتر,۴,۳,۴,۱۷۰ لیتر,A,۵
32,SAM-SBS-ROSSO-3S,۵۵۱ تا ۷۰۰,۲۹۰۰۰۳۹۰۰۱۳۴۵,۳۲,۲ عدد,۷۳۲,۲,۱۴۰ کیلوگرم,نوفراست,۵۰۰ لیتر,۴,۴,۳,۲۳۲ لیتر,A++,۴
33,SAM-SBS-ROSSO/W,بیش از ۷۰۰ لیتر,۲۹۰۰۰۳۹۰۰۱۳۵۲,۳۲,۲ عدد,۷۳۲,۲,۱۵۲ کیلوگرم,نوفراست,۵۰۰ لیتر,۴,۴,۳,۲۳۲ لیتر,A++,۴
34,SAM-SBS-ROSSO-3W,بیش از ۷۰۰ لیتر,۲۹۰۰۰۳۹۰۰۱۳۵۲,۳۲,۲ عدد,۷۳۲,۲,۱۵۲ کیلوگرم,نوفراست,۵۰۰ لیتر,۴,۴,۳,۲۳۲ لیتر,A++,۴
35,SNOWA-SBS-SN8-2028GW,,۲۹۰۰۱۷۶۵۰۵۰۳۴,۲۷,۲ عدد,,۲,۱۲۰ کیلوگرم,نوفراست,۳۹۴ لیتر,۴,۴,۲,۱۹۷ لیتر,A+,۶
36,SNOWA-SBS-SN8-2034GW,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۶۰۸۶,۳۲,۲ عدد عدد,۶۳۰,۳ عدد,۱۱۰ کیلوگرم,نوفراست,۴۴۰ لیتر لیتر,۵ عدد,۴ عدد,۲ عدد,۲۴۴ لیتر لیتر,A+,۶ عدد
37,SNOWA-SBS-SN8-2261SW,۵۵۱ تا ۷۰۰,۶۲۶۱۶۴۰۶۰۹۰۷۵,۲۷,۲ عدد,۵۹۱,۲,۱۱۰ کیلوگرم,نوفراست,۳۹۴ لیتر,۴,۴,۲,۱۹۷ لیتر,A+,۴
38,SNOWA-SBS-GALLERY-SN83350SS,بیش از ۷۰۰ لیتر,۲۹۰۰۱۷۶۵۰۱۱۶۶,۳۵,۲ عدد,۷۷۱,۳,,,۴۹۴ لیتر,۴,۳,,۲۷۷ لیتر,A+,
39,SNOWA-SBS-SN8-2032SS,,۲۹۰۰۱۷۶۵۰۵۰۶۵,۳۲,۲ عدد,,۳,۱۲۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۵,۴,۳,۲۳۳ لیتر,A+,۶
40,SNOWA-SBS-SN8-3035GW,بیش از ۷۰۰ لیتر,۲۹۰۰۱۷۶۵۰۵۹۸۰,۳۵,۲ عدد,۷۷۱,۳,۱۲۰ کیلوگرم,نوفراست,۴۹۴ لیتر,۵,۴,۳,۲۷۷ لیتر,A+,۶
41,SNOWA-SBS-ARS3Di-L300-S,بیش از ۷۰۰ لیتر,۲۹۰۳۲۸۳۶۰۰۵۱۷,۳۵,۲ عدد,۷۱۹,۳,۹۰ کیلوگرم,نوفراست,۴۹۱ لیتر,۵,۴,۳,۲۲۸ لیتر,A+,۶
42,SNOWA-SBS-HARMONY-SN82261GW,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۶۰۷۹,۳۲,۲ عدد,۶۳۰,۳,۱۱۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۵,۴,۲,۲۴۴ لیتر,A+,۶
43,SNOWA-SBS-S1Di-M210-S,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۹۲۳۰,۳۲,۲ عدد,۶۳۰,۳,۹۰ کیلوگرم,نوفراست,۴۴۰ لیتر,۵,۴,,۱۹۰ لیتر,A+,۶
44,SNOWA-SBS-GALLERY-SN83320SS,۵۵۱ تا ۷۰۰,۲۹۰۰۱۷۶۵۰۱۱۸۰,۳۲,۲ عدد,۶۸۴,۳,,نوفراست,۴۴۰ لیتر,۵,۴,۳,۲۴۴ لیتر,A+,۶
45,SNOWA-SBS-SN8-2035GW,بیش از ۷۰۰ لیتر,۲۹۰۰۱۷۶۵۰۶۰۹۳,۳۵,۲ عدد,۷۷۷,۳,۱۲۰ کیلوگرم,نوفراست,۵۰۰ لیتر,۵,۴,۳,۲۷۷ لیتر,A+,۶
46,TCL-SBS-S545,۳۵۱ تا ۴۹۰,۲۹۰۰۹۹۳۷۰۲۶۴۷,۲۸,۱ عدد,۴۵۹,۱,۸۳ کیلوگرم,نوفراست,۳۲۱ لیتر,۴,۴,,۱۳۸ لیتر,A+,۴
47,X.VISION-SBS-TT580-ASD,۴۹۱ تا ۵۵۰,۲۹۰۰۹۹۳۷۰۲۴۹۴,۲۶,۲ عدد,۵۱۸,ندارد,,نوفراست,۳۹۵ لیتر,۴,۲,۲,۱۲۳ لیتر,A+,۳
48,X.VISION-SBS-TS550-ASD,۳۵۱ تا ۴۹۰,۲۹۰۰۹۹۳۷۰۲۴۷۰,۱۷,۱ عدد,۴۶۳,۱,,نوفراست,۳۳۲ لیتر,۵,۵,,۱۳۱ لیتر,A,۴
49,X.VISION-SBS-TS551-AWD,۵۵۱ تا ۷۰۰,۲۹۰۰۹۹۳۷۰۳۵۶۹,۲۰,۱ عدد,۵۵۱,۱,۸۴ کیلوگرم,نوفراست,۳۸۰ لیتر,۵,۵,,۱۷۱ لیتر,A,۳
