model_code,price,tank_type,motor_speed,drum_capacity,door_opening_direction,height,depth,width,motor_type,energy_label,safety_system,brand
GPLUS-WM-L87W,26386827.586206898,Front Load,1200.0,8.0,left,85.0,56.0,60.0,Direct Drive,3.0,1.0,GPLUS
GPLUS-WM-L88W,27100000.0,Front Load,1400.0,8.0,left,85.0,63.5,59.5,Direct Drive,3.0,1.0,GPLUS
KENWOOD-WM-KWM-8260,27700000.0,Stainless Steel,1400.0,8.0,left,85.0,65.0,60.0,BLDC,3.0,1.0,KENWOOD
KENWOOD-WM-KWM6841W,28800000.0,Front Load,1400.0,8.0,left,85.0,50.0,60.0,BLDC,3.0,1.0,KENWOOD
KENWOOD-WM-KWM6941S,28800000.0,Front Load,1400.0,8.0,left,85.0,50.0,60.0,BLDC,3.0,1.0,KENWOOD
PAKSHOMA-WM-40901,26000000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40103iST,25490000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40103iWT,25490000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40107ST,28100000.0,Bubble Diamond Drum,1400.0,9.0,left,84.4,58.7,61.3,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40107WT,28100000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40107iST,28100000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40107iWT,28100000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40108WT,25700000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40108iST,25700000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40108iWT,25700000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40113WT,25000000.0,Front Load,1400.0,9.0,left,85.0,60.0,61.3,BLDC Inverter,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40116iST,25500000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40116iWT,25500000.0,Front Load,1400.0,9.0,left,85.0,60.0,70.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40118iWT,26300000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40702ST,24498346.93877551,Front Load,1400.0,7.0,left,85.0,54.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40708ST,24498346.93877551,Front Load,1400.0,7.0,left,85.0,60.0,60.0,Belt Drive,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40801ST,23500000.0,Unknown,1400.0,8.0,left,84.4,58.7,61.3,BLDC Inverter,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40801WT,23500000.0,Unknown,1400.0,8.0,left,84.4,58.7,61.3,BLDC Inverter,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40801iWT,23500000.0,Unknown,1400.0,8.0,left,84.4,58.7,61.3,BLDC Inverter,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40802,25000000.0,Front Load,1400.0,8.0,left,84.4,58.7,61.3,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40802WT,25000000.0,Front Load,1400.0,8.0,left,84.4,58.7,61.3,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40802iWT,25000000.0,Front Load,1400.0,8.0,left,84.4,58.7,61.3,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40803iWT,24500000.0,Front Load,1400.0,8.0,left,85.0,60.0,50.0,Inverter,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40804WT,25000000.0,Front Load,1400.0,8.0,left,60.0,54.0,85.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40804iWT,24498346.93877551,Front Load,1400.0,8.0,left,60.0,54.0,85.0,Belt Drive,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40806WT,24490000.0,Diamond Drum,1400.0,8.0,left,84.4,58.7,61.3,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40807ST,24498346.93877551,Front Load,1400.0,8.0,left,82.0,60.0,60.0,Belt Drive,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40807WT,26000000.0,Front Load,1400.0,8.0,left,82.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40808ST,25900000.0,Front Load,1400.0,8.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40808WT,25900000.0,Front Load,1400.0,8.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40808iST,25900000.0,Unknown,1400.0,8.0,left,85.0,60.0,60.0,BLDC Inverter,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40808iWT,25900000.0,Front Load,1400.0,8.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40811ST,24999000.0,Unknown,1400.0,8.0,left,80.0,65.0,65.0,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40901ST,24498346.93877551,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40901W,24498346.93877551,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40901WT,26000000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40902ST,24900000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40902WT,24900000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40902iST,24900000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40902iWT,24900000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40904ST,25000000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Inverter,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40904WT,25000000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF-40904iST,24800000.0,Diamond Drum,1400.0,9.0,left,85.0,60.0,60.0,BLDC,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF40802WT,25000000.0,Front Load,1400.0,8.0,left,84.4,58.7,61.3,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-BWF40804ST,25000000.0,Front Load,1400.0,8.0,left,84.4,58.7,61.3,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-TFB-86401,37200000.0,Diamond Drum,1400.0,8.0,left,84.4,58.7,61.3,BLDC,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-TFB-96418WT,26800000.0,Front Load,1400.0,9.0,left,85.0,60.0,60.0,Belt Drive,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-TFB86402,24498346.93877551,Front Load,1400.0,8.0,left,85.0,55.0,60.0,Belt Drive,2.0,1.0,PAKSHOMA
PAKSHOMA-WM-TFU-84406,24498346.93877551,Unknown,1400.0,8.0,left,84.4,58.7,61.3,Unknown,3.0,1.0,PAKSHOMA
PAKSHOMA-WM-TLAB-1201iS,15700000.0,Top Load,1300.0,12.0,up,103.0,65.0,66.0,BLDC,1.0,1.0,PAKSHOMA
