id,model_code,price,نمودار مصرف انرژی,وزن,گنجایش کل به لیتر,گنجایش کل به فوت,محدوده گنجایش کل به لیتر,نوع مقاومت در برابر برفک,شناسه کالا,گنجایش یخچال,تعداد طبقات یخچال,تعداد طبقات درب یخچال,تعداد کشو,گنجایش فریزر,تعداد طبقات فریزر,تعداد طبقات درب فریزر,تعداد کشوی فریزر,امکانات یخچال,جهت باز شدن درب یخچال,جهت باز شدن درب فریزر,میزان صدا,لزوم اتصال به شیر آب,امکانات فریزر,سایر ویژگی‌های فریزر,ارتفاع یخچال-فریزر,عمق یخچال-فریزر,پهنای یخچال-فریزر,سایر ویژگی‌ها,سایر ویژگی‌های یخچال,نوع یخچال و فریزر,ارتفاع,عمق,پهنا
58,PAKSHOMA-SBS-RSP-800W,,A,۱۱۶ کیلوگرم,۸۰۰,۳۲,بیش از ۷۰۰ لیتر,,۲۹۰۰۹۴۹۰۲۲۲۹۴,۴۸۷ لیتر,۴,۵,۲ عدد,۱۷۰ لیتر,۳,۴,۲,بدون برفک,به سمت راست,به سمت چپ,۴۰,دارد,بدون برفک,,۱۷۹ سانتی‌متر,۸۶ سانتی‌متر,۹۱ سانتی‌متر,آب‌سردکن اتوماتیک / دارای کمپرسور اینورتر / دارای کنترل پنل (LED) لمسی / قابلیت مخفی شدن نمایه در حالت Standby / یخ‌ساز دو حالته (خرد و مکعبی) / گنجایش یخ‌ساز: ۱.۸ کیلوگرم,,ساید بای ساید,,,
59,SAM-SBS-ROSSO-3S,,A++,۱۴۰ کیلوگرم,۷۳۲,۳۲,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۰۳۹۰۰۱۳۴۵,۵۰۰ لیتر,۴,۴,۲ عدد,۲۳۲ لیتر,۴,۳,۲,,,,,,,,,,,,,,,,
60,SAM-SBS-ROSSO/W,,A++,۱۵۲ کیلوگرم,۷۳۲,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۰۳۹۰۰۱۳۵۲,۵۰۰ لیتر,۴,۴,۲ عدد,۲۳۲ لیتر,۴,۳,۲,بدون برفک,به سمت راست,به سمت چپ,,دارد,بدون برفک,قابلیت انجماد سریع,۱۷۶.۵ سانتی‌متر,۸۶.۸ سانتی‌متر,۹۰.۸ سانتی‌متر,دارای بار خانگی / دارای فیلتر بوگیر و آب / دارای کمپرسور اینورتر دیجیتال,قابلیت سرمایش سریع,ساید بای ساید,,,
61,SAM-SBS-ROSSO-3W,,A++,۱۵۲ کیلوگرم,۷۳۲,۳۲,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۰۳۹۰۰۱۳۵۲,۵۰۰ لیتر,۴,۴,۲ عدد,۲۳۲ لیتر,۴,۳,۲,بدون برفک,به سمت راست,به سمت چپ,,دارد,بدون برفک,قابلیت انجماد سریع,۱۷۶.۵ سانتی‌متر,۸۶.۸ سانتی‌متر,۹۰.۸ سانتی‌متر,دارای بار خانگی / دارای فیلتر بوگیر و آب / دارای کمپرسور اینورتر دیجیتال,قابلیت سرمایش سریع,ساید بای ساید,,,
62,SNOWA-SBS-SN8-2028GW,,A+,۱۲۰ کیلوگرم,,۲۷,,نوفراست,۲۹۰۰۱۷۶۵۰۵۰۳۴,۳۹۴ لیتر,۴,۶,۲ عدد,۱۹۷ لیتر,۴,۲,۲,,,,,,,,,,,,,,۱۸۱ سانتی‌متر,۷۲ سانتی‌متر,۹۱ سانتی‌متر
63,SNOWA-SBS-SN8-2034GW,,A+,۱۱۰ کیلوگرم,۶۳۰,۳۲,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۶۰۸۶,۴۴۰ لیتر لیتر,۵ عدد,۶ عدد,۲ عدد عدد,۲۴۴ لیتر لیتر,۴ عدد,۲ عدد,۳ عدد,,,,۳۸ دسیبل,,,- آبسردکن - دارای یخساز - انجماد سریع - نوع یخساز: خودکار تک پدال فوق باریک - قفل یخساز - بدون برفک - جهت باز شدن درب فریزر به سمت چپ,,,,- لزوم اتصال به شیر آب برای تولید یخ و آب سرد - سیستم کاهش صدا در شب - سامانه سرمایش هوشمند - دارای فیلتر تصفیه آب - سیستم سرمایش سریع - مجهز به سامانه بار خانگی - کمپرسور اینورتر دیجیتال - سامانه مدیریت مصرف هنگام سفر - نوار درزگیر آنتی باکتریال با قابلیت تعویض - سيستم انجماد سريع فريزر - محفظه نگهداری میوه و سبزیجات - LED لمسی - سرمایش هوشمند (Smart Cooling) - جا لبنیاتی و جابطری - هشدار باز بودن درب - دارای روشنایی فریزر LED - دارای دستگیره در مخفی - فناوری کاهش مصرف انرژی - حسگرهوشمند تشخیص دمای بیرونی - سامانه مدیریت سرمایش Smart Cooling - سرمایش دوگانه one evaporator - حالت کاهش مصرف انرژی هوشمند - گردش هواي سه بعدي Multiple Air Flow - روشنایی یخچال و فریزر LED - قابلیت اتصال به آب شهری - شش عدد سنسور داخلی - نوع بار خانگی دیسکی (سامانه آرام بازشو) - گرید انرژی: A+ - فیلتر تصفیه هوای داخلی دولایه نانو کربن - نوع آبسردکن خودکار تک پدال - دارای سیستم قفل یخساز - بهینه سازی ساختار مواد - طراحی استاندارد مطابق با کابینت آشپزخانه و حمل آسان - یخساز فوق باریک - نوع طبقات شيشه ای بی قاب,- اخطار باز ماندن درب,,,,
64,SNOWA-SBS-S2Di-M210-S,"۸۵,۷۹۰,۰۰۰",A+,۱۱۰ کیلوگرم,۶۳۰,۲۸,۵۵۱ تا ۷۰۰,نوفراست,۲۹۰۰۱۷۶۵۰۹۴۰۷,۴۴۰ لیتر,۵,۶,۲ عدد,۱۹۰ لیتر,۳,,۳,آبسردکن,به راست,به چپ,,دارد,یخساز اتوماتیک (آب شهری),,۱۸۱.۶ سانتی‌متر,۸۴ سانتی‌متر,۹۱.۶ سانتی‌متر,دارای هوم بار / دستگیره درب مخفی / سامانه گردش هوای سه بعدی / سرمایش سریع یخچال / انجماد سریع فریزر / مجهز به سرمایش فلزی درب بار / قابلیت کنترل با اینترنت (IOT),,ساید بای ساید,,,
65,SNOWA-SBS-SN8-2261SW,,A+,۱۱۰ کیلوگرم,۵۹۱,۲۷,۵۵۱ تا ۷۰۰,نوفراست,۶۲۶۱۶۴۰۶۰۹۰۷۵,۳۹۴ لیتر,۴,۴,۲ عدد,۱۹۷ لیتر,۴,۲,۲,نمایشگر,به راست,به چپ,۳۸,,,,,,,سیستم هوشمند سرمایش دوگانه ۲۷ فوت مجهز به محفظه ی بار,,,,,
66,SNOWA-SBS-GALLERY-SN83350SS,,A+,,۷۷۱,۳۵,بیش از ۷۰۰ لیتر,,۲۹۰۰۱۷۶۵۰۱۱۶۶,۴۹۴ لیتر,۴,,۲ عدد,۲۷۷ لیتر,۳,,۳,نمایشگر,,,,بله,یخساز نیمه اتوماتیک (منبع آب),,,,,حسگرهوشمند تشخیص دمای بیرونی حسگرهای هوشمند داخلی سرمایش دوگانه one evaporator گردش هواي سه بعدي,,,۱۸۱۶ سانتی‌متر,۹۲۰ سانتی‌متر,۹۱۶ سانتی‌متر
67,SNOWA-SBS-S1D-S110-GW,,A+,۱۰۰ کیلوگرم,۷۸۰,۲۷,بیش از ۷۰۰ لیتر,نوفراست,۲۹۰۰۱۷۶۵۰۹۲۰۹,۳۹۴ لیتر,۴,۶,۲ عدد,۱۹۷ لیتر,۴,۲,۲,اخطار باز ماندن درب,,,,,بدون برفک,,۱۸۱ سانتی‌متر,۷۲ سانتی‌متر,۹۰ سانتی‌متر,,,ساید بای ساید,,,
