model_code,fridge_capacity,freezer_capacity,energy_rating,total_capacity_feet,number_of_fridge_shelves,number_of_freezer_shelves,number_of_fridge_door_shelves,number_of_freezer_door_shelves,number_of_fridge_drawers,number_of_freezer_drawers,weight,price,total_capacity_mapped,brand
SNOWA-SBS-S1D-S110-S,394 ,197 ,1.0,27,4,4,6,2,2 ,2,100.0,64000000.0,3.0,SNOWA
SNOWA-SBS-S1Di-M210-S,440 ,190 ,1.0,32,5,4,6,3,2 ,3,90.0,68890000.0,2.0,SNOWA
SNOWA-SBS-S1Di-S110-S,394 ,197 ,1.0,27,4,4,6,2,2 ,2,100.0,81965197.27272727,3.0,SNOWA
SNOWA-SBS-S1Di-S110-W,394 ,197 ,1.0,27,4,4,6,2,2 ,2,100.0,81965197.27272727,3.0,SNOWA
SNOWA-SBS-S2D-L310-W,494 ,277 ,1.0,35,4,4,5,3,2 ,3,111.44444444444444,78600000.0,2.0,SNOWA
SNOWA-SBS-S2D-M210-S,440 ,190 ,1.0,28,5,3,6,3,2 ,3,110.0,65212103.7037037,2.0,SNOWA
SNOWA-SBS-S2D-M210-W,491 ,228 ,1.0,32,5,3,5,3,2 ,3,110.0,76500000.0,2.0,SNOWA
SNOWA-SBS-S2Di-M210-S,440 ,190 ,1.0,28,5,3,6,3,2 ,3,110.0,65212103.7037037,2.0,SNOWA
SNOWA-SBS-SN8-2028GW,394 ,197 ,1.0,27,4,4,6,2,2 ,2,120.0,63000000.0,3.0,SNOWA
SNOWA-SBS-SN8-2032SS,440 ,233 ,1.0,32,5,4,6,3,2 ,3,120.0,65212103.7037037,2.0,SNOWA
SNOWA-SBS-SN8-2034GW,440  ,244  ,1.0,32,5 ,4 ,6 ,2 ,2  ,3 ,110.0,63500000.0,2.0,SNOWA
SNOWA-SBS-SN8-2035GW,500 ,277 ,1.0,35,5,4,6,3,2 ,3,120.0,81965197.27272727,3.0,SNOWA
SNOWA-SBS-SN8-2261SW,394 ,197 ,1.0,27,4,4,4,2,2 ,2,110.0,65000000.0,2.0,SNOWA
SNOWA-SBS-SN8-2343GW,400 ,190 ,1.0,32,4,4,5,3,2 ,3,111.44444444444444,65212103.7037037,2.0,SNOWA
SNOWA-SBS-SN8-2343SS,434 ,233 ,1.0,32,5 ,4 ,6 ,2 ,2 ,3 ,111.44444444444444,79846800.0,2.0,SNOWA
SNOWA-SBS-SN8-2353GW,500 ,277 ,1.0,32,5 ,4 ,6 ,3 ,2 ,3 ,118.26666666666667,81965197.27272727,3.0,SNOWA
SNOWA-SBS-SN8-3035GW,494 ,277 ,1.0,35,5,4,6,3,2 ,3,120.0,85000000.0,3.0,SNOWA
TCL-SBS-S545,321 ,138 ,1.0,28,4,4,4,3,1 ,1,83.0,33000000.0,0.0,TCL
X.VISION-SBS-HS550-ASD,342 ,159 ,1.0,28,4  ,4,5,3,2 ,3,93.0,52000000.0,1.0,X.VISION
X.VISION-SBS-HS550-AWD,342 ,159 ,1.0,28,4  ,4,5,3,2 ,3,93.0,52000000.0,1.0,X.VISION
X.VISION-SBS-S7,494 ,277 ,1.0,32,4,4,5,3,2 ,2,111.44444444444444,59520000.0,2.0,X.VISION
X.VISION-SBS-TF541-AMD,296 ,133 ,1.0,28,4,4,5,3,2 ,3,95.0,37200000.0,0.0,X.VISION
X.VISION-SBS-TF541-AWD,296 ,133 ,1.0,28,4,4,5,3,2 ,3,95.0,37200000.0,0.0,X.VISION
X.VISION-SBS-TS550-ASD,332 ,131 ,0.0,17,5,5,4,3,1 ,1,92.0,34100000.0,0.0,X.VISION
X.VISION-SBS-TS551-AWD,380 ,171 ,0.0,20,5,5,3,3,1 ,1,84.0,33800000.0,2.0,X.VISION
X.VISION-SBS-TS552-ASD,321 ,164 ,0.0,28,5 ,5 ,3 ,4 ,2 ,3,84.0,33500000.0,0.0,X.VISION
X.VISION-SBS-TS665,390 ,207 ,1.0,32,4 ,4 ,3 ,4 ,2 ,2 ,111.44444444444444,36100000.0,2.0,X.VISION
X.VISION-SBS-TS665-ASD,390 ,207 ,1.0,32,4 ,4 ,3 ,4 ,2 ,2 ,111.44444444444444,36100000.0,2.0,X.VISION
X.VISION-SBS-TS665-AWD,390 ,207 ,1.0,32,4 ,4 ,3 ,4 ,2 ,2 ,111.44444444444444,36100000.0,2.0,X.VISION
X.VISION-SBS-TS666-ASD,390 ,207 ,1.0,32,4 ,4 ,3 ,4 ,2 ,2 ,95.0,36490000.0,2.0,X.VISION
X.VISION-SBS-TS666-AWD,390 ,207 ,1.0,32,4 ,4 ,3 ,4 ,2 ,2 ,95.0,36490000.0,2.0,X.VISION
X.VISION-SBS-TS666ASD,390 ,207 ,1.0,32,4 ,4 ,3 ,4 ,2 ,2 ,95.0,36490000.0,2.0,X.VISION
X.VISION-SBS-TT580-ASD,395 ,123 ,1.0,26,4,2,3,2,2 ,0,100.44444444444444,25000000.0,1.0,X.VISION
